Name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Played
213,0.744,0.699,6,-9.348,0,0.106,0.29,0.00341,0.0835,0.519,114.993,107807,5,0
214,0.7,0.152,2,-18.737,1,0.0492,0.963,0.421,0.104,0.39,119.994,140434,4,0
215,0.543,0.233,2,-19.278,1,0.0338,0.832,0.507,0.137,0.0378,119.95,159048,4,0
216,0.565,0.435,1,-12.368,0,0.104,0.346,0.284,0.137,0.0879,117.531,182064,4,0
217,0.642,0.321,11,-17.369,0,0.0351,0.271,0.00813,0.188,0.515,149.965,148392,3,0
218,0.57,0.378,6,-10.112,1,0.134,0.894,0.000106,0.111,0.1,134.994,231053,4,0
219,0.636,0.562,7,-9.88,1,0.45,0.63,0.11,0.111,0.747,189.093,121833,4,0
220,0.824,0.615,6,-8.834,0,0.0566,0.762,4.08E-05,0.0854,0.133,134.969,100056,4,0
221,0.682,0.512,9,-11.739,0,0.0638,0.00861,0.00204,0.289,0.0765,149.995,151056,4,0
222,0.549,0.471,0,-13.789,1,0.0271,0.000965,0.122,0.333,0.0366,80.021,178390,4,0
223,0.614,0.623,6,-6.988,1,0.0276,0.18,0.0152,0.13,0.525,138.318,108565,4,0
224,0.654,0.453,0,-11.649,0,0.0492,0.176,0.509,0.14,0.0848,130.061,88728,4,0
225,0.788,0.37,2,-14.328,1,0.0593,0.0505,0.000322,0.118,0.113,141.43,184895,4,0
226,0.562,0.367,0,-14.711,1,0.0365,0.719,0.057,0.265,0.0582,120.021,130926,4,0
227,0.796,0.454,11,-11.135,0,0.0458,0.492,0.0349,0.0543,0.112,119.939,107568,4,0
228,0.663,0.618,8,-10.447,1,0.0391,0.0465,0.000711,0.259,0.15,119.989,144048,4,0
229,0.764,0.566,1,-11.117,1,0.0398,0.0526,0.0197,0.113,0.181,120.026,105312,4,0
230,0.576,0.215,3,-15.42,0,0.0286,0.704,0.44,0.0935,0.208,105.007,128392,4,0
231,0.534,0.477,1,-9.919,1,0.0316,0.0625,0.000229,0.153,0.465,86.663,88529,5,0
232,0.289,0.293,4,-16.373,1,0.0318,0.58,0.862,0.115,0.361,96.253,70968,4,0
233,0.608,0.404,11,-11.028,1,0.445,0.773,0.0128,0.708,0.398,127.263,116568,4,0
234,0.815,0.422,1,-10.698,1,0.097,0.369,0.192,0.0731,0.248,140.011,130320,4,0
235,0.35,0.397,10,-11.295,1,0.0472,0.134,0,0.182,0.414,78.23,67944,4,0
236,0.396,0.266,1,-19.916,1,0.129,0.635,0.89,0.114,0.242,81.063,264725,4,0
237,0.689,0.6,10,-8.657,1,0.0913,0.00508,0,0.0921,0.155,104.979,165167,4,0
238,0.595,0.757,1,-9.561,1,0.0332,0.0162,0.0403,0.144,0.118,139.934,123696,4,0
239,0.767,0.497,10,-7.657,0,0.0476,0.0312,0.724,0.104,0.296,151.963,97833,4,0
240,0.553,0.425,11,-9.483,1,0.396,0.0251,4.37E-06,0.133,0.176,183.966,166740,4,0
241,0.684,0.323,11,-15.132,0,0.0466,0.0695,0.000769,0.11,0.374,138.352,104150,1,0
242,0.688,0.188,8,-17.998,0,0.235,0.721,0.911,0.104,0.513,152.011,146077,4,0
243,0.72,0.435,10,-9.097,0,0.112,0.0396,0.118,0.114,0.316,76.486,100440,4,0
244,0.758,0.549,1,-5.636,1,0.0377,0.00283,0.588,0.115,0.344,120.003,90072,4,0
245,0.761,0.258,10,-13.329,0,0.0462,0.825,0.0962,0.106,0.345,119.991,144072,4,0
246,0.805,0.373,10,-11.671,0,0.0351,0.546,0.0007,0.111,0.448,121.987,133056,4,0
